REEF_ID,REEF_SUB_ID,REEF_NAME,REEF_AREA,LAT_DEG,LAT_MIN,LONG_DEG,LONG_MIN,GAZ_NAME,REEF_CLASS,FULLREEF_ID,G_SECTION,A_SECTOR,SHELF,LONG_DD,LAT_DD,AIMS_REEF_NAME,
10299,S,10299S,250,10,46.5,143,6,10-299,,10299S,FN,CG,,143.1,-10.775,10299S,
10313,S,SEXTANT REEF,1,10,41.5,142,33,SEXTANT ROCK,,10313S,FN,CG,,142.55,-10.691667,SEXTANT REEF,
10314,S,IDA REEF,190,10,42.5,142,34,IDA ISLAND,,10314S,FN,CG,,142.566667,-10.708333,IDA REEF,
10315,S,SANA REEF,1,10,42,142,36,SANA ROCK,,10315S,FN,CG,,142.6,-10.7,SANA REEF,
10316,S,TREE REEF,10,10,42,142,36,TREE ISLET,,10316S,FN,CG,,142.6,-10.7,TREE REEF,
10317,S,BRUSH ISLET REEF,10,10,42.5,142,36,BRUSH ISLET,,10317S,FN,CG,,142.6,-10.708333,BRUSH ISLET REEF,
10318,A,ALBANY ISLAND REEF (NO 1),120,10,42.8,142,35.8,ALBANY ISLAND A,,10318A,FN,CG,,142.596667,-10.713333,ALBANY ISLAND REEF (NO 1),
10318,B,ALBANY ISLAND REEF (NO 2),60,10,43.5,142,37,ALBANY ISLAND B,,10318B,FN,CG,,142.616667,-10.725,ALBANY ISLAND REEF (NO 2),
10318,C,ALBANY ISLAND REEF (NO 3),40,10,45,142,37.5,ALBANY ISLAND C,,10318C,FN,CG,,142.625,-10.75,ALBANY ISLAND REEF (NO 3),
10318,D,ALBANY ISLAND REEF (NO 4),40,10,44,142,36.5,ALBANY ISLAND D,,10318D,FN,CG,,142.608333,-10.733333,ALBANY ISLAND REEF (NO 4),
10319,S,PITT ROCK,10,10,44,142,37.5,PITT ROCK,,10319S,FN,CG,,142.625,-10.733333,PITT ROCK,
10320,S,MAI REEF,120,10,43.5,142,37.5,MAI ISLET,,10320S,FN,CG,,142.625,-10.725,MAI REEF,
10321,S,ALBANY ROCK REEF,10,10,43,142,38,ALBANY ROCK,,10321S,FN,CG,,142.633333,-10.716667,ALBANY ROCK REEF,
10322,S,NORTH BROTHER REEF,10,10,42,142,40.5,NORTH BROTHER ROCK,,10322S,FN,CG,,142.675,-10.7,NORTH BROTHER REEF,
10323,S,MIDDLE BROTHER REEF,60,10,43,142,41,MIDDLE BROTHER ISLET,,10323S,FN,CG,,142.683333,-10.716667,MIDDLE BROTHER REEF,
10324,S,SOUTH BROTHER REEF,20,10,43.5,142,41.5,SOUTH BROTHER ROCK,,10324S,FN,CG,,142.691667,-10.725,SOUTH BROTHER REEF,
